year,Households_owner_equity,saving,saving_rate,population,unemployment,Employment_Population_Ratio,price_index
2002,104965.58333333333,10614.533333333333,5.575,287954.5833333333,5.783333333333334,62.73333333333333,122.28783333333332
2003,105559.91666666667,10884.391666666666,5.191666666666666,290626.25,5.991666666666667,62.26666666666667,133.74116666666666
2004,106588.0,11233.175000000001,4.6499999999999995,293262.3333333333,5.541666666666667,62.349999999999994,150.46416666666667
2005,108231.16666666667,11364.858333333332,2.25,295992.9166666667,5.083333333333333,62.68333333333334,171.7793333333333
2006,109575.0,11777.783333333333,2.775,298817.6666666667,4.608333333333333,63.11666666666667,183.48141666666666
2007,110305.5,12054.300000000001,2.525,301696.1666666667,4.616666666666666,62.975,179.94308333333333
2008,111408.91666666667,12244.324999999999,4.133333333333334,304543.0833333333,5.8,62.18333333333334,164.06133333333332
2009,111664.08333333333,12273.441666666666,5.733333333333333,307240.0833333333,9.283333333333333,59.34166666666667,148.55325
2010,112107.58333333333,12505.291666666666,5.925,309838.8333333333,9.608333333333334,58.475,144.66666666666666
2011,113068.08333333333,12775.25,6.55,312295.25,8.933333333333334,58.375,139.24233333333333
2012,114512.58333333333,13125.383333333333,7.858333333333333,314725.4166666667,8.075,58.55833333333334,140.98841666666667
2013,114762.75,12937.191666666666,4.966666666666667,317099.0,7.358333333333333,58.6,154.52158333333333
2014,115447.5,13383.675000000001,5.466666666666666,319600.4166666667,6.158333333333334,59.00833333333333,164.68016666666668
2015,117163.40833333333,13908.574999999999,5.8500000000000005,322112.6666666667,5.2749999999999995,59.333333333333336,172.16958333333332
2016,118256.18333333333,14172.25,5.358333333333333,324609.3333333333,4.875,59.73333333333333,180.91425
2017,119242.08333333333,14613.966666666667,5.758333333333333,326859.6666666667,4.358333333333333,60.125,191.38825
2018,121260.41666666667,15143.616666666667,6.433333333333334,328794.5,3.891666666666666,60.44166666666666,202.46475
2019,122863.25,15608.908333333333,7.375,330512.5833333333,3.6833333333333336,60.78333333333333,209.44816666666668
2020,125919.75,16607.466666666667,15.208333333333334,331787.4166666667,8.091666666666667,56.76666666666667,222.12133333333335
2021,126610.91666666667,17138.716666666667,11.108333333333334,332351.1666666667,5.366666666666667,58.375,260.05941666666666
2022,128316.91666666667,16117.050000000001,3.3249999999999997,333595.0833333333,3.641666666666667,59.958333333333336,298.52299999999997
2023,129906.66666666667,16763.02,4.55,335132.0,3.627272727272727,60.33636363636364,303.62122222222223
